event_id,customer_id,event_date,event_type
1,1,2023-03-20,feature_use
2,1,2023-07-30,login
3,1,2023-08-28,login
4,1,2023-01-22,feature_use
5,1,2022-11-06,feature_use
6,1,2023-06-13,billing_page
7,1,2022-06-04,feature_use
8,1,2023-09-26,login
9,1,2023-07-28,login
10,1,2024-03-08,feature_use
11,1,2023-08-07,login
12,1,2023-01-16,feature_use
13,1,2022-05-26,feature_use
14,1,2022-07-01,billing_page
15,1,2024-03-16,support_ticket
16,1,2024-03-10,support_ticket
17,1,2022-06-23,billing_page
18,1,2022-10-03,login
19,1,2024-05-06,login
20,1,2022-10-14,login
21,1,2023-10-16,login
22,1,2022-08-21,feature_use
23,1,2022-07-29,feature_use
24,1,2023-06-14,support_ticket
25,2,2023-04-22,login
26,2,2023-11-12,login
27,2,2024-01-24,billing_page
28,2,2023-03-10,login
29,2,2024-03-14,billing_page
30,2,2023-08-31,feature_use
31,2,2023-07-21,billing_page
32,2,2024-06-07,feature_use
33,2,2024-02-19,login
34,2,2023-04-25,login
35,2,2024-04-24,billing_page
36,2,2022-10-26,feature_use
37,2,2022-12-19,feature_use
38,2,2024-07-16,login
39,2,2024-03-25,login
40,2,2023-02-09,support_ticket
41,2,2022-11-02,feature_use
42,2,2023-02-09,login
43,2,2024-08-02,billing_page
44,2,2023-09-21,login
45,2,2023-04-02,support_ticket
46,2,2024-01-06,support_ticket
47,2,2022-12-15,support_ticket
48,2,2023-09-28,login
49,2,2023-04-23,feature_use
50,2,2023-10-07,support_ticket
51,2,2024-06-20,login
52,2,2023-12-19,feature_use
53,3,2024-09-08,feature_use
54,3,2024-08-31,feature_use
55,3,2024-06-10,feature_use
56,3,2024-10-04,login
57,3,2023-12-10,login
58,3,2023-11-18,feature_use
59,3,2025-02-14,login
60,3,2023-12-06,login
61,3,2025-04-20,billing_page
62,3,2024-08-03,billing_page
63,3,2024-07-11,support_ticket
64,3,2023-11-11,login
65,3,2024-12-26,login
66,3,2025-03-23,login
67,3,2024-02-20,login
68,3,2025-01-01,feature_use
69,3,2024-06-20,feature_use
70,3,2025-01-18,feature_use
71,3,2023-11-09,login
72,3,2024-04-02,billing_page
73,3,2025-02-27,feature_use
74,3,2024-03-30,billing_page
75,3,2024-10-22,login
76,3,2024-07-09,feature_use
77,4,2023-08-16,login
78,4,2022-06-14,login
79,4,2023-10-17,feature_use
80,4,2023-01-03,login
81,4,2022-06-19,feature_use
82,4,2024-01-04,support_ticket
83,4,2022-06-09,feature_use
84,4,2023-10-02,login
85,4,2022-11-05,login
86,4,2022-06-27,feature_use
87,4,2022-02-07,login
88,4,2023-05-12,billing_page
89,4,2023-04-18,feature_use
90,4,2022-12-12,feature_use
91,4,2023-03-07,login
92,4,2023-02-02,feature_use
93,4,2023-01-23,login
94,4,2023-05-31,login
95,4,2022-11-01,login
96,4,2022-09-22,feature_use
97,4,2022-03-25,login
98,4,2022-02-06,login
99,4,2023-05-19,login
100,4,2023-11-13,login
101,4,2024-01-28,login
102,4,2023-10-23,billing_page
103,4,2022-09-14,feature_use
104,4,2023-10-24,login
105,4,2022-09-10,login
106,4,2023-01-03,billing_page
107,4,2022-04-28,login
108,4,2023-08-22,login
109,4,2023-01-01,feature_use
110,4,2023-08-02,login
111,4,2024-01-22,login
112,4,2023-09-07,login
113,4,2022-07-18,login
114,4,2022-05-14,login
115,4,2022-08-07,feature_use
116,4,2023-06-19,feature_use
117,4,2023-05-12,login
118,4,2022-04-04,login
119,4,2023-11-10,login
120,4,2023-03-07,support_ticket
121,4,2023-09-17,login
122,4,2023-07-13,feature_use
123,4,2023-11-27,login
124,4,2023-03-27,login
125,4,2023-06-23,login
126,4,2022-06-01,login
127,4,2022-02-07,login
128,4,2022-12-07,login
129,4,2023-12-25,login
130,4,2022-11-10,feature_use
131,4,2023-10-22,login
132,4,2023-09-15,login
133,4,2023-12-07,login
134,4,2023-11-14,feature_use
135,4,2022-08-02,feature_use
136,4,2023-08-24,login
137,5,2023-04-27,login
138,5,2022-05-27,login
139,5,2023-01-06,feature_use
140,5,2023-01-22,billing_page
141,5,2023-08-05,login
142,5,2023-12-05,billing_page
143,5,2023-06-08,login
144,5,2023-05-16,login
145,5,2023-01-08,feature_use
146,5,2022-07-11,login
147,5,2022-07-30,login
148,5,2022-12-24,login
149,5,2023-12-30,feature_use
150,5,2023-10-30,login
151,5,2023-03-03,login
152,5,2022-08-31,login
153,5,2023-06-09,feature_use
154,5,2022-03-02,feature_use
155,5,2023-07-18,login
156,5,2022-01-28,login
157,6,2023-04-15,login
158,6,2023-01-11,login
159,6,2023-10-19,login
160,6,2022-10-05,feature_use
161,6,2024-07-12,login
162,6,2024-06-04,login
163,6,2023-06-26,feature_use
164,6,2023-09-26,login
165,6,2023-09-21,login
166,6,2024-07-11,login
167,6,2024-07-26,feature_use
168,6,2022-12-09,login
169,6,2023-03-24,login
170,6,2022-09-01,login
171,6,2022-11-03,billing_page
172,6,2023-08-07,login
173,6,2023-06-22,login
174,6,2023-12-12,login
175,6,2024-03-16,feature_use
176,6,2024-01-26,login
177,6,2023-12-09,login
178,6,2022-09-23,login
179,7,2023-10-30,login
180,7,2022-11-30,support_ticket
181,7,2023-04-01,billing_page
182,7,2023-11-20,feature_use
183,7,2023-12-14,login
184,7,2023-05-21,login
185,7,2023-06-21,login
186,7,2022-11-02,login
187,7,2023-01-27,feature_use
188,7,2023-10-01,feature_use
189,7,2023-12-19,feature_use
190,7,2022-09-08,feature_use
191,7,2023-03-05,login
192,7,2022-04-05,billing_page
193,7,2022-07-31,billing_page
194,7,2024-01-20,feature_use
195,7,2023-04-12,login
196,7,2022-06-26,feature_use
197,7,2023-07-10,feature_use
198,7,2022-03-19,feature_use
199,7,2022-09-06,feature_use
200,7,2023-08-11,support_ticket
201,7,2023-05-23,feature_use
202,7,2022-12-15,login
203,8,2023-02-16,feature_use
204,8,2024-04-14,billing_page
205,8,2024-12-16,feature_use
206,8,2024-04-16,feature_use
207,8,2023-09-06,feature_use
208,8,2023-10-29,login
209,8,2024-05-12,feature_use
210,8,2024-05-25,support_ticket
211,8,2024-12-29,feature_use
212,8,2023-11-13,login
213,8,2024-04-24,login
214,8,2023-12-25,login
215,8,2024-12-24,feature_use
216,9,2023-07-15,billing_page
217,9,2022-09-19,feature_use
218,9,2022-12-23,login
219,9,2022-07-09,login
220,9,2022-10-11,login
221,9,2022-03-01,feature_use
222,9,2023-03-13,login
223,9,2022-04-13,login
224,9,2023-05-24,feature_use
225,9,2023-02-22,feature_use
226,9,2022-09-12,login
227,9,2023-03-06,login
228,9,2022-11-16,billing_page
229,9,2022-06-02,feature_use
230,9,2022-11-14,feature_use
231,9,2022-12-04,feature_use
232,9,2023-08-20,login
233,9,2023-12-29,login
234,9,2022-07-18,feature_use
235,9,2023-04-18,login
236,9,2022-03-29,login
237,9,2022-12-21,login
238,9,2022-12-09,support_ticket
239,10,2023-11-11,billing_page
240,10,2023-08-22,support_ticket
241,10,2023-06-28,login
242,10,2023-10-04,login
243,10,2023-11-10,login
244,10,2023-06-10,feature_use
245,10,2023-06-15,login
246,10,2023-06-16,support_ticket
247,10,2023-09-08,login
248,11,2022-08-29,feature_use
249,11,2022-11-12,login
250,11,2023-03-20,login
